"1","Guadeloupe","guadeloupe"
"2","Martinique","martinique"
"3","Guyane","guyane"
"4","La Réunion","la-reunion"
"6","Mayotte","mayotte"
"11","Île-de-France","ile-de-France"
"21","Champagne-Ardenne","champagne-ardenne"
"22","Picardie","picardie"
"23","Haute-Normandie","haute-normandie"
"24","Centre","centre"
"25","Basse-Normandie","base-normandie"
"26","Bourgogne","bourgogne"
"31","Nord-Pas-de-Calais","nord-pas-de-calais"
"41","Lorraine","lorraine"
"42","Alsace","alsace"
"43","Franche-Comté","franche-comte"
"52","Pays de la Loire","pays-de-la-loire"
"53","Bretagne","bretagne"
"54","Poitou-Charentes","poitou-charentes"
"72","Aquitaine","aquitaine"
"73","Midi-Pyrénées","midi-pyrenees"
"74","Limousin","limousin"
"82","Rhône-Alpes","rhones-alpes"
"83","Auvergne","auvergne"
"91","Languedoc-Roussillon","languedoc-roussillon"
"93","Provence-Alpes-Côte d'Azur","provence-alpes-cote-d-azur"
"94","Corse","corse"
